field,status,source_locator,observed_evidence,needed_to_close
formal_supplement,obtained,Figshare 27117118 v1 / file 49438366,"One DOCX, two raster figures; source relation matches article DOI",Source access gap closed; independent V0R-B review pending
repeat_temperature_mass_series,not_obtained,Supplement document.xml / media / no embeddings,"No raw per-repeat time, center/surface temperature or mass records in attachment",Retrieve original per-run exports and run-to-condition/sample mapping
particle_initial_temperature,unknown,Main article §2.1/2.2; supplement A1/S2,Storage and room conditions already known; supplement adds no per-run particle initial temperature,Per-run particle initial temperature and exposure/time-zero protocol
initial_wet_and_dry_mass,unknown_per_run,Main article §2.1 Table 1; supplement A1/S2,"No paired per-run wet/dry masses, explicit moisture basis or dry-mass endpoint added","Paired m0/mdry, moisture basis, drying/conditioning criterion and measurement uncertainty"
hot_gas_humidity_pressure_path,unknown,Main article §2.2; supplement A1/S2,"No inlet water vapor content, operating absolute pressure or complete supply/recirculation path added","Inlet water-vapor content or measured T/RH plus absolute pressure, sensor location and gas supply path"
gas_temperature_velocity_history,nominal_only,Main article Table 2 / Figure 8; supplement S2,S2 legend says MSJ-2cm-2.4; no measured Tgas(t) or velocity(t) exports,Boundary histories and measurement uncertainty for the same runs
bypass_in_temperature_runs,unknown,Main article §2.2; supplement A1/S2,Mass-measurement bypass protocol exists in main paper; supplement does not establish use/timing in separate temperature runs,"Confirm temperature-run bypass and window-opening timing, or explicit absence"
measurement_scatter_and_calibration,unknown,Supplement S2,No per-repeat data or visible error bars; no additional calibration/positioning uncertainty,"Instrument uncertainty, placement/timing information and repeat-level records"
total_drying_time,qualitative_only,Supplement Figure S2 axes and caption,"Three symbols per material, two 2 cm series; time unit and endpoint criterion not supplied","Confirm unit, endpoint definition, per-repeat endpoint values and run mapping before numerical use"
molding_geometry,qualitative_only,Supplement Figure A1,"Photo of hemispherical molds; no dimensional scale, molding pressure or density calibration",Existing nominal diameters remain; retrieve actual initial geometry/density if required by chosen equations
dynamic_shrinkage,unknown,Supplement A1/S2,No radius/shape time series or paired geometry-temperature records,Same-run geometry history or evidence bounding the effect of the chosen geometry approximation
same_material_constitutive_inputs,unknown,Supplement A1/S2,"No new same-batch Cp, k, water activity or transport closure","First choose an identifiable formulation, then obtain its necessary same-material properties and uncertainty"
independent_validation_data,not_obtained,Supplement S2; F0-A benchmark data role,Same-paper aggregate is exposed during this work; no newly reserved independent observations,Define data roles and an independent evaluation set before fitting or model selection
